"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 26, 2022","72,200","68,700","73,100","68,700","10.85M","5.56%"
"Aug 25, 2022","68,400","67,700","68,700","67,300","5.15M","2.40%"
"Aug 24, 2022","66,800","66,900","67,200","66,300","2.22M","-0.15%"
"Aug 23, 2022","66,900","65,900","67,800","65,900","4.01M","0.60%"
"Aug 22, 2022","66,500","64,600","66,900","64,500","5.86M","3.74%"
"Aug 19, 2022","64,100","64,500","65,400","63,100","2.28M","-0.62%"
"Aug 18, 2022","64,500","65,000","65,800","63,900","4.07M","-0.77%"
"Aug 17, 2022","65,000","66,000","66,400","65,000","2.52M","-1.52%"
"Aug 16, 2022","66,000","65,000","67,000","65,000","3.91M","1.54%"
"Aug 15, 2022","65,000","63,300","65,000","63,000","4.43M","3.17%"
"Aug 12, 2022","63,000","62,900","63,700","62,200","2.42M","0.00%"
"Aug 11, 2022","63,000","64,000","64,200","62,500","2.72M","-0.94%"
"Aug 10, 2022","63,600","63,300","64,300","63,000","1.97M","0.47%"
"Aug 09, 2022","63,300","63,100","63,600","62,900","2.81M","0.64%"
"Aug 08, 2022","62,900","62,700","62,900","62,300","2.49M","0.32%"
"Aug 05, 2022","62,700","62,900","63,500","62,600","2.71M","0.00%"
"Aug 04, 2022","62,700","62,200","63,000","62,100","4.34M","1.46%"
"Aug 03, 2022","61,800","62,000","62,200","61,300","2.66M","-0.32%"
"Aug 02, 2022","62,000","61,800","62,500","61,300","2.12M","1.14%"
"Aug 01, 2022","61,300","61,000","61,900","60,000","3.26M","0.49%"
"Jul 29, 2022","61,000","62,400","62,400","61,000","3.38M","-1.61%"
"Jul 28, 2022","62,000","63,000","63,000","62,000","1.95M","-0.16%"
"Jul 27, 2022","62,100","60,100","63,000","60,100","1.87M","-1.43%"
"Jul 26, 2022","63,000","63,900","63,900","62,800","1.81M","-0.47%"
"Jul 25, 2022","63,300","64,800","65,800","62,700","4.02M","-1.86%"
"Jul 22, 2022","64,500","64,900","66,800","64,200","5.45M","0.62%"
"Jul 21, 2022","64,100","61,200","64,500","61,200","5.00M","4.74%"
"Jul 20, 2022","61,200","59,200","63,000","58,200","7.38M","2.00%"
"Jul 19, 2022","60,000","61,200","61,200","59,500","2.12M","-1.64%"
"Jul 18, 2022","61,000","61,500","62,900","60,200","2.54M","-0.81%"
"Jul 15, 2022","61,500","62,800","63,200","61,500","3.08M","-1.76%"
"Jul 14, 2022","62,600","62,900","64,000","62,300","2.13M","-1.57%"
"Jul 13, 2022","63,600","64,000","64,200","61,900","3.10M","-1.24%"
"Jul 12, 2022","64,400","64,800","64,800","64,000","1.61M","-0.16%"
"Jul 11, 2022","64,500","64,800","64,900","64,000","1.37M","-0.77%"
"Jul 08, 2022","65,000","64,700","66,500","64,400","2.59M","1.56%"
"Jul 07, 2022","64,000","64,100","65,000","63,900","1.59M","0.00%"
"Jul 06, 2022","64,000","65,500","66,300","64,000","2.40M","-2.29%"
"Jul 05, 2022","65,500","67,800","67,800","64,000","3.98M","-3.39%"
"Jul 04, 2022","67,800","70,000","70,100","66,600","5.18M","-3.56%"
"Jul 01, 2022","70,300","71,600","71,600","68,800","3.29M","-1.68%"
"Jun 30, 2022","71,500","73,100","73,100","71,200","2.40M","-2.05%"
"Jun 29, 2022","73,000","72,800","74,000","71,100","3.15M","0.27%"
"Jun 28, 2022","72,800","71,000","72,900","71,000","4.12M","1.82%"
"Jun 27, 2022","71,500","71,700","72,500","71,100","3.16M","-0.56%"
"Jun 24, 2022","71,900","73,500","73,500","71,400","2.72M","-0.83%"
"Jun 23, 2022","72,500","70,000","73,500","69,800","4.91M","3.87%"
"Jun 22, 2022","69,800","75,600","75,600","69,200","3.82M","-5.03%"
"Jun 21, 2022","73,500","75,000","75,800","71,000","3.37M","-0.54%"
"Jun 20, 2022","73,900","78,000","78,000","73,600","4.48M","-4.89%"
"Jun 17, 2022","77,700","79,000","79,000","76,300","3.50M","-1.65%"
"Jun 16, 2022","79,000","79,000","79,000","77,600","6.04M","6.97%"
"Jun 15, 2022","73,850","72,500","73,850","72,000","5.12M","2.93%"
"Jun 14, 2022","71,750","69,250","72,150","69,000","3.21M","2.50%"
"Jun 13, 2022","70,000","72,500","73,750","70,000","6.46M","-6.67%"
"Jun 10, 2022","75,000","77,000","77,500","75,000","3.88M","-1.83%"
"Jun 09, 2022","76,400","76,700","77,500","75,650","2.26M","-0.39%"
"Jun 08, 2022","76,700","77,150","78,950","76,700","4.15M","0.26%"
"Jun 07, 2022","76,500","77,000","77,000","74,500","3.69M","-0.46%"
"Jun 06, 2022","76,850","76,502","77,744","76,502","3.78M","0.98%"
"Jun 03, 2022","76,105","73,373","76,651","73,373","3.34M","3.72%"
"Jun 02, 2022","73,373","72,777","74,764","72,280","3.61M","1.51%"
"Jun 01, 2022","72,280","71,982","73,025","71,535","2.12M","0.41%"
"May 31, 2022","71,982","72,131","72,131","71,038","1.48M","-0.21%"
"May 30, 2022","72,131","72,876","73,273","71,237","2.52M","-1.02%"
"May 27, 2022","72,876","69,150","72,975","69,150","5.10M","5.54%"
"May 26, 2022","69,051","69,548","69,796","67,560","1.43M","0.00%"
"May 25, 2022","69,051","66,766","70,293","66,567","3.12M","4.51%"
"May 24, 2022","66,070","65,027","66,070","64,481","1.16M","1.68%"
"May 23, 2022","64,977","67,064","67,064","64,580","1.08M","-2.39%"
"May 20, 2022","66,567","65,822","67,461","65,573","1.74M","0.75%"
"May 19, 2022","66,070","64,580","66,319","64,232","1.68M","-0.37%"
"May 18, 2022","66,319","65,424","66,418","64,481","1.61M","1.44%"
"May 17, 2022","65,375","62,046","65,375","60,606","2.11M","6.99%"
"May 16, 2022","61,103","65,822","65,822","60,208","2.67M","-1.68%"
"May 13, 2022","62,146","66,766","67,113","62,146","5.49M","-6.92%"
"May 12, 2022","66,766","69,498","69,498","66,766","3.41M","-4.68%"
"May 11, 2022","70,044","69,647","70,044","68,157","2.33M","0.64%"
"May 10, 2022","69,597","67,064","69,597","66,070","3.64M","2.71%"
"May 09, 2022","67,759","71,634","71,684","67,759","5.39M","-6.96%"
"May 06, 2022","72,826","72,777","73,969","72,578","2.17M","-1.87%"
"May 05, 2022","74,217","74,764","74,764","72,081","2.34M","-0.07%"
"May 04, 2022","74,267","74,515","75,260","73,770","2.30M","0.20%"
"Apr 29, 2022","74,118","72,131","74,515","72,131","3.48M","2.90%"
"Apr 28, 2022","72,031","73,273","74,018","71,932","3.05M","-1.49%"
"Apr 27, 2022","73,124","72,528","73,273","71,038","3.44M","-1.08%"
"Apr 26, 2022","73,919","70,044","74,962","69,051","5.44M","2.69%"
"Apr 25, 2022","71,982","76,502","77,148","71,982","7.42M","-7.00%"
"Apr 22, 2022","77,397","77,794","77,993","72,081","8.10M","0.19%"
"Apr 21, 2022","77,247","76,602","78,241","76,353","4.61M","-0.32%"
"Apr 20, 2022","77,496","77,049","79,185","76,403","3.80M","0.00%"
"Apr 19, 2022","77,496","79,334","80,029","76,999","6.57M","-2.62%"
"Apr 18, 2022","79,582","79,980","80,476","79,036","5.23M","0.00%"
"Apr 15, 2022","79,582","78,241","80,427","78,092","4.68M","0.44%"
"Apr 14, 2022","79,235","77,595","80,874","76,999","5.85M","2.11%"
"Apr 13, 2022","77,595","75,012","77,993","74,764","6.81M","2.29%"
