Name,Date,Price
MWG,12/12/2022,45.90 
MWG,09/12/2022,46.20 
MWG,08/12/2022,46.00 
MWG,07/12/2022,44.85 
MWG,06/12/2022,44.35 
MWG,05/12/2022,47.60 
MWG,02/12/2022,47.00 
MWG,01/12/2022,44.05 
MWG,30/11/2022,44.10 
MWG,29/11/2022,42.80 
MWG,28/11/2022,40.15 
MWG,25/11/2022,37.80 
MWG,24/11/2022,37.70 
MWG,23/11/2022,40.50 
MWG,22/11/2022,40.20 
MWG,21/11/2022,40.65 
MWG,18/11/2022,42.15 
MWG,17/11/2022,41.80 
MWG,16/11/2022,40.45 
MWG,15/11/2022,37.85 
MWG,14/11/2022,40.65 
MWG,11/11/2022,43.00 
MWG,10/11/2022,42.35 
MWG,09/11/2022,45.50 
MWG,08/11/2022,44.60 
MWG,07/11/2022,42.85 
MWG,04/11/2022,46.05 
MWG,03/11/2022,49.50 
MWG,02/11/2022,48.00 
MWG,01/11/2022,50.10 
MWG,31/10/2022,51.60 
MWG,28/10/2022,53.20 
MWG,27/10/2022,53.30 
MWG,26/10/2022,51.90 
MWG,25/10/2022,52.00 
MWG,24/10/2022,50.60 
MWG,21/10/2022,54.40 
MWG,20/10/2022,58.40 
MWG,19/10/2022,59.00 
MWG,18/10/2022,59.00 
MWG,17/10/2022,58.90 
MWG,14/10/2022,59.90 
MWG,13/10/2022,57.60 
MWG,12/10/2022,57.50 
MWG,11/10/2022,55.40 
MWG,10/10/2022,57.10 
MWG,07/10/2022,54.00 
MWG,06/10/2022,58.00 
MWG,05/10/2022,62.20 
MWG,04/10/2022,61.00 
MWG,03/10/2022,59.60 
MWG,30/09/2022,64.00 
MWG,29/09/2022,64.00 
MWG,28/09/2022,65.00 
MWG,27/09/2022,67.10 
MWG,26/09/2022,68.00 
MWG,23/09/2022,69.40 
MWG,22/09/2022,70.10 
MWG,21/09/2022,70.00 
MWG,20/09/2022,71.70 
MWG,19/09/2022,70.50 
MWG,16/09/2022,72.00 
MWG,15/09/2022,73.90 
MWG,14/09/2022,73.70 
MWG,13/09/2022,74.10 
MWG,12/09/2022,74.00 
MWG,09/09/2022,72.00 
MWG,08/09/2022,71.50 
MWG,07/09/2022,70.70 
MWG,06/09/2022,72.90 
MWG,05/09/2022,72.50 
MWG,31/08/2022,74.00 
MWG,30/08/2022,73.30 
MWG,29/08/2022,74.00 
MWG,26/08/2022,72.20 
MWG,25/08/2022,68.40 
MWG,24/08/2022,66.80 
MWG,23/08/2022,66.90 
MWG,22/08/2022,66.50 
MWG,19/08/2022,64.10 
MWG,18/08/2022,64.50 
MWG,17/08/2022,65.00 
MWG,16/08/2022,66.00 
MWG,15/08/2022,65.00 
MWG,12/08/2022,63.00 
MWG,11/08/2022,63.00 
MWG,10/08/2022,63.60 
MWG,09/08/2022,63.30 
MWG,08/08/2022,62.90 
MWG,05/08/2022,62.70 
MWG,04/08/2022,62.70 
MWG,03/08/2022,61.80 
MWG,02/08/2022,62.00 
MWG,01/08/2022,61.30 
MWG,29/07/2022,61.00 
MWG,28/07/2022,62.00 
MWG,27/07/2022,62.10 
MWG,26/07/2022,63.00 
MWG,25/07/2022,63.30 
MWG,22/07/2022,64.50 
MWG,21/07/2022,64.10 
MWG,20/07/2022,61.20 
MWG,19/07/2022,60.00 
MWG,18/07/2022,61.00 
MWG,15/07/2022,61.50 
MWG,14/07/2022,62.60 
MWG,13/07/2022,63.60 
MWG,12/07/2022,64.40 
MWG,11/07/2022,64.50 
MWG,08/07/2022,65.00 
MWG,07/07/2022,64.00 
MWG,06/07/2022,64.00 
MWG,05/07/2022,65.50 
MWG,04/07/2022,67.80 
MWG,01/07/2022,70.30 
MWG,30/06/2022,71.50 
MWG,29/06/2022,73.00 
MWG,28/06/2022,72.80 
MWG,27/06/2022,71.50 
MWG,24/06/2022,71.90 
MWG,23/06/2022,72.50 
MWG,22/06/2022,69.80 
